index,glc__D,aas,nts,OUT
0,0.0,0.0,200.0,0.4330521947670502
1,12.5,12.5,187.5,0.48116124599175447
2,25.0,25.0,175.0,0.5252384737678855
3,37.5,37.5,162.5,0.9479433321656652
4,50.0,50.0,150.0,0.6849754789684999
5,62.5,62.5,137.5,0.8270896769152003
6,75.0,75.0,125.0,0.5362392552073508
7,87.5,87.5,112.5,0.4480780631079733
8,100.0,100.0,100.0,0.433762900487726
9,112.5,112.5,87.5,0.47794117647058826
10,125.0,125.0,75.0,0.4802349707633855
11,137.5,137.5,62.5,0.8716249898951793
12,150.0,150.0,50.0,0.7653525908760207
13,162.5,162.5,37.5,0.8592162701085931
14,175.0,175.0,25.0,0.808294710463205
15,187.5,187.5,12.5,0.6880372396324541
16,200.0,200.0,0.0,0.42657500471558296
17,0.0,200.0,100.0,0.7899578292150575
18,12.5,187.5,112.5,0.6487968526851877
19,25.0,175.0,125.0,0.5151269165476543
20,37.5,162.5,137.5,0.6798624397079033
21,50.0,150.0,150.0,0.4882144108215893
22,62.5,137.5,162.5,0.5254237288135594
23,75.0,125.0,175.0,0.8200061976233461
24,87.5,112.5,187.5,0.9227115949448951
25,100.0,100.0,200.0,0.6530038263587615
26,112.5,87.5,0.0,0.47328622241383955
27,125.0,75.0,12.5,0.47387230201288033
28,137.5,62.5,25.0,0.6634050551049554
29,150.0,50.0,37.5,0.5420798415564119
30,162.5,37.5,50.0,0.43990663145698045
31,175.0,25.0,62.5,0.7144714505133248
32,187.5,12.5,75.0,0.8905311093745789
33,200.0,0.0,87.5,1.0
34,0.0,100.0,0.0,0.5788445474387647
35,12.5,112.5,12.5,0.4155978011910215
36,25.0,125.0,25.0,0.5996503732047103
37,37.5,137.5,37.5,0.7039860149281885
38,50.0,150.0,50.0,0.5732431085123009
39,62.5,162.5,62.5,0.5281722400366469
40,75.0,175.0,75.0,0.7465003637735442
41,87.5,187.5,87.5,0.6766221605453909
42,100.0,200.0,100.0,0.6492919888981703
43,112.5,0.0,112.5,0.4380641858209156
44,125.0,12.5,125.0,0.5719631645603729
45,137.5,25.0,137.5,0.594315027889305
46,150.0,37.5,150.0,0.7156166635229447
47,162.5,50.0,162.5,0.6907116488372719
48,175.0,62.5,175.0,0.41970372665786426
49,187.5,75.0,187.5,0.6115875346932177
50,200.0,87.5,200.0,0.7495452830697098
