,mg2,nh4,k,glc__D,pi,nad,atp,coa,OUT
0,8.0,10.0,134,0,10,0.5,0.0,0.5,0.0
1,8.0,10.0,134,200,10,0.0,0.0,0.5,0.0
2,8.0,10.0,134,200,10,0.5,0.0,2.0,0.0
3,8.0,10.0,134,200,10,0.5,0.0,1.6,0.0
4,8.0,10.0,134,200,10,0.5,2.0,0.5,0.03964757709251101
5,0.0,10.0,134,200,10,0.5,0.0,0.5,0.061674008810572695
6,8.0,10.0,134,200,20,0.5,0.0,0.5,0.08370044052863436
7,8.0,10.0,134,200,10,0.5,0.0,1.2,0.0881057268722467
8,8.0,10.0,0,200,10,0.5,0.0,0.5,0.09691629955947137
9,8.0,10.0,134,200,10,0.5,0.0,0.5,0.10572687224669602
10,8.0,10.0,134,200,10,0.5,0.0,0.8,0.11013215859030837
11,8.0,10.0,35,200,10,0.5,0.0,0.5,0.1145374449339207
12,8.0,10.0,134,200,10,0.5,1.2,0.5,0.14537444933920707
13,8.0,10.0,134,200,10,0.4,0.0,0.5,0.15859030837004404
14,8.0,10.0,134,200,16,0.5,0.0,0.5,0.16299559471365638
15,8.0,10.0,175,200,10,0.5,0.0,0.5,0.16740088105726872
16,8.0,10.0,134,200,10,0.5,0.0,0.5,0.1762114537444934
17,8.0,10.0,134,200,10,0.5,1.6,0.5,0.1762114537444934
18,16.0,10.0,134,200,10,0.5,0.0,0.5,0.21145374449339205
19,8.0,10.0,134,120,10,0.5,0.0,0.5,0.22466960352422907
20,3.2,10.0,134,200,10,0.5,0.0,0.5,0.22466960352422907
21,8.0,10.0,105,200,10,0.5,0.0,0.5,0.2378854625550661
22,8.0,10.0,134,200,12,0.5,0.0,0.5,0.24229074889867844
23,8.0,10.0,134,200,10,0.5,0.0,0.0,0.25110132158590304
24,12.8,10.0,134,200,10,0.5,0.0,0.5,0.25110132158590304
25,8.0,10.0,140,200,10,0.5,0.0,0.5,0.2643171806167401
26,8.0,10.0,134,200,10,0.5,0.0,0.4,0.2687224669603524
27,8.0,10.0,134,40,10,0.5,0.0,0.5,0.2687224669603524
28,8.0,3.2,134,200,10,0.5,0.0,0.5,0.27312775330396477
29,8.0,10.0,134,160,10,0.5,0.0,0.5,0.29074889867841414
30,8.0,0.0,134,200,10,0.5,0.0,0.5,0.31277533039647576
31,9.6,10.0,134,200,10,0.5,0.0,0.5,0.3392070484581498
32,8.0,12.8,134,200,10,0.5,0.0,0.5,0.3480176211453745
33,8.0,10.0,134,200,10,0.8,0.0,0.5,0.3700440528634361
34,8.0,16.0,134,200,10,0.5,0.0,0.5,0.40528634361233484
35,8.0,10.0,134,200,0,0.5,0.0,0.5,0.40528634361233484
36,8.0,10.0,134,200,4,0.5,0.0,0.5,0.4317180616740088
37,8.0,9.6,134,200,10,0.5,0.0,0.5,0.44933920704845814
38,8.0,10.0,134,200,10,2.0,0.0,0.5,0.5594713656387665
39,8.0,10.0,134,200,10,1.2,0.0,0.5,0.8193832599118943
40,8.0,10.0,134,200,10,1.6,0.0,0.5,1.0
