,Glucose,NH4(Glu),NAD,CoA,AVG.1
0,0,10.0,0.5,0.5,0.0
1,200,10.0,0.0,0.5,0.0
2,200,10.0,0.5,2.0,0.0
3,200,10.0,0.5,1.6,0.0
4,200,10.0,0.5,0.5,0.09
7,200,10.0,0.5,1.2,0.2
10,200,10.0,0.5,0.8,0.25
13,200,10.0,0.4,0.5,0.36
19,120,10.0,0.5,0.5,0.51
23,200,10.0,0.5,0.0,0.57
26,200,10.0,0.5,0.4,0.61
27,40,10.0,0.5,0.5,0.61
28,200,3.2,0.5,0.5,0.62
29,160,10.0,0.5,0.5,0.66
30,200,0.0,0.5,0.5,0.71
32,200,12.8,0.5,0.5,0.79
33,200,10.0,0.8,0.5,0.84
34,200,16.0,0.5,0.5,0.92
37,200,9.6,0.5,0.5,1.02
38,200,10.0,2.0,0.5,1.27
39,200,10.0,1.2,0.5,1.86
40,200,10.0,1.6,0.5,2.27
